1,15
2,52
3,36
4,16
5,13
6,10
7,29
8,11
9,9
10,9
11,10
12,14
13,13
14,13
15,24
16,13
17,14
18,10
19,10
20,14
21,33
22,10
23,9
24,14
25,10
26,15
27,18
28,17
29,23
30,11
31,9
32,48
33,23
34,11
35,14
36,21
37,27
38,20
39,22
40,26
41,9
42,10
43,10
44,14
45,56
46,16
47,14
48,24
49,18
50,19
51,9
52,46
53,46
54,32
55,17
56,22
57,23
58,13
59,26
60,20
61,13
62,14
63,11
64,22
65,26
66,31
67,40
68,33
69,46
70,35
71,27
72,30
73,47
74,39
75,30
76,40
77,41
78,39
79,35
80,41
81,55
82,61
83,55
84,55
85,68
86,76
87,118
88,200
89,100
90,112
91,150
92,132
93,136
94,200
95,125
96,155
97,152
98,177
99,154
100,135
101,185
102,153
103,155
104,127
105,134
106,133
107,170
108,131
109,141
110,138
111,132
112,166
113,141
114,153
115,127
116,132
117,151
118,133
119,139
120,140
121,144
122,136
123,128
124,165
125,131
126,142
127,107
128,119
129,127
130,143
131,125
132,144
133,134
134,150
135,154
136,117
137,130
138,120
139,125
140,166
141,126
142,136
143,131
144,131
145,122
146,122
147,149
148,123
149,160
150,115
151,164
152,137
153,116
154,112
155,140
156,125
157,117
158,113
159,136
160,130
161,107
162,134
163,127
164,134
165,113
166,114
167,109
168,102
169,110
170,125
171,200
172,107
173,161
174,132
175,181
176,103
177,106
178,120
179,118
180,136
181,118
182,122
183,126
184,160
185,111
186,118
187,143
188,113
189,144
190,149
191,152
192,114
193,143
194,165
195,140
196,116
197,135
198,145
199,116
200,122
201,106
202,123
203,172
204,182
205,115
206,105
207,121
208,130
209,121
210,117
211,127
212,83
213,122
214,114
215,141
216,125
217,143
218,145
219,109
220,129
221,142
222,123
223,139
224,161
225,131
226,9
227,10
228,10
229,11
230,12
231,12
232,13
233,11
234,200
235,200
236,123
237,129
238,184
239,200
240,174
241,135
242,158
243,109
244,132
245,118
246,163
247,129
248,131
249,136
250,143
